   Crop          1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28      29      30      31      32      33      34      35      36      37      38      39      40      41      42      43      44      45      46      47      48      49      50      51      52      53      54      55      56      57                   
  191 WAYC    25.8    0.72      17       4     4.9     0.8   42.15   70.99    0.12     0.1     2.9   0.007    0.85     200     1.2       2  660.41  0.0176  0.0022  0.0255   0.985     0.6    0.23   266.8   266.8    0.75   0.035    0.02   0.012   0.006  0.0025  0.0019    0.04    0.02   0.003   1.266   0.633   0.729       5    5.01   15.95      10       1    4.75     0.4     0.6       0    4.47    7.77    0.12     1.7    0.01     0.1       0       0       0       0   CULTIVAR_WAYCHA                
  192 ALPH    30.7    0.52      17       4       3    0.61   48.14   73.99     0.7    0.95       3   0.007    0.85     100     1.2       2  660.41  0.0176  0.0022  0.0255    0.95     0.6    0.23   266.8   266.8    0.78   0.035    0.02   0.012   0.006  0.0025  0.0019    0.04    0.02   0.003   1.266   0.633   0.729       5    5.01   15.95      10       1    4.75     0.4     0.6       0    4.47    7.77    0.12     1.7    0.01     0.1       0       0       0       0   CULTIVAR_ALPHA
  193 LUKI    25.4    0.83      17       4     4.9     0.8   47.14   61.99    0.11     0.1       3   0.007    0.85     200     1.2       2  660.41  0.0176  0.0022  0.0255    0.99     0.6    0.23   266.8   266.8     0.7   0.035    0.02   0.012   0.006  0.0025  0.0019    0.04    0.02   0.003   1.266   0.633   0.729       5    5.01   15.95      10       1    4.75     0.4     0.6       0    4.47    7.77    0.12     1.7    0.01     0.1       0       0       0       0   PAPA_LUKI                  
  194 AJAH    27.3    0.81      17       4       5     0.8   49.14   65.99    0.11     0.1       3   0.007    0.85     200     1.2       2  660.41  0.0176  0.0022  0.0255    0.99     0.6    0.23   266.8   266.8    0.67   0.035    0.02   0.012   0.006  0.0025  0.0019    0.04    0.02   0.003   1.266   0.633   0.729       5    5.01   15.95      10       1    4.75     0.4     0.6       0    4.47    7.77    0.12     1.7    0.01     0.1       0       0       0       0   PAPA_AJAHUIRI    
